word,frequency
angell,7
garage,7
sign],7
looking,7
[10],7
"8,",7
[Multiple,7
non,7
gate,7
building.,7
sink,7
PULL,7
BOX,7
BEFORE,7
pieces,7
furniture,7
Out,7
those,7
alleyway,7
W,7
fallen,7
conversion,7
rectilinear,7
Arietta.,7
NOTE:,7
drilled,7
aluminum,7
Existing,7
unsuitable,7
container,7
stickers,7
on.,7
cart],7
Request,7
pickup.,7
barriers,7
bag],7
fixed,7
water.,7
matter,7
possibly,7
year,7
Parks,7
shop,7
allowed,7
within,7
business,7
Rd.,7
Ford,7
3rd,7
significant,7
infront,7
traps,7
playing,7
constantly,7
pull,7
everyone,7
rodents,7
[Toyota],7
goes,7
plates.,7
Ct,7
daily,7
led,7
[FORD],7
tires,7
[Irrigation],7
this.,7
window,7
safe,7
bench,7
down.,7
description:,7
inbound,7
well.,7
Stop,7
wheelchair,7
enforce,7
run,7
got,7
Could,7
[Ford],7
lives,7
corner.,7
road.,7
slide,7
35,7
walk.,7
n,7
Franklin,7
Last,7
faded,7
Interested,7
Adopt,7
program:,7
"St,",7
receptacle,7
throughout,7
above,7
painted,7
took,7
neighbor,7
bar.,7
[Limb],7
flowing,7
[Requestformechanicalsweeping],6
cone,6
cleaned.,6
Since,6
seem,6
Conditioner],6
belong,6
they're,6
vehicles.,6
w,6
ALL,6
[More,6
Than,6
Three],6
HAS,6
out.],6
covering,6
hurt,6
#,6
[Fire,6
lane],6
dark.,6
[6],6
underneath,6
bigger,6
barrel.,6
bottom,6
item,6
curb.,6
maintenance,6
Replace,6
concrete,6
covered,6
install,6
cement,6
standard,6
arm,6
orange,6
Lights,6
"st,",6
Residents,6
piles,6
didn't,6
24,6
Sinkhole,6
tennis,6
Titus,6
Says,6
[Chevy],6
[Blue],6
TIE,6
AS,6
NEEDED,6
ONE,6
gone,6
sunken,6
Both,6
become,6
department,6
stated,6
sit,6
Will,6
increase,6
seeing,6
Good,6
third,6
[4],6
[Mon/Fri],6
complaint,6
set,6
"4,",6
table,6
leaves,6
9,6
Owner,6
[Cleaning],6
legal,6
continues,6
actual,6
smell,6
place,6
So,6
here?,6
post,6
court,6
floor,6
roof,6
tickets.,6
Green,6
clearly,6
hazard.,6
Thanks.,6
partially,6
[Honda],6
WITH,6
You,6
hitting,6
Nissan,6
Been,6
passage,6
bed,6
earlier,6
smashed,6
minutes,6
proper,6
43,6
[HONDA],6
busy,6
60,6
tables,6
first,6
VFW,6
trail,6
BWSC,6
city.,6
8,6
impossible,6
lane.,6
Bus,6
Leaf,6
saw,6
Berkeley,6
PARKING,6
paint,6
picture,6
Just,6
metal,6
that's,6
repair,6
fountain,6
towards,6
Dartmouth,6
softball,6
T,6
yet,6
alot,6
location.],6
trying,6
Field,6
sweep,6
again.,6
Size,6
years.,6
frequently,6
Lane,6
Bag,6
overflowing.,6
12,6
advance,6
[rear],6
wood,6
bush,6
ramps,6
boston,6
dump,6
Tubman,6
[Ground,6
Maintenance,6
Gray,5
result,5
swept,5
Used,5
regular,5
Pick,5
work.,5
[Air,5
dumpsters,5
100,5
flooded,5
fixing,5
hoping,5
STREET,5
boxes,5
TRASH,5
BEEN,5
HERE,5
telephone,5
falls,5
93,5
dining,5
smells,5
throwing,5
"'Barrel',",5
Cummins,5
items,5
went,5
bridge.,5
beer,5
bottle,5
[Please,5
Summer,5
Atlantic,5
40,5
broke,5
41,5
33,5
Along,5
70w,5
ball,5
"missed,",5
tagged.,5
vehicles],5
drop,5
hard,5
gate.,5
tried,5
Outside,5
alarm,5
major,5
obstructing,5
dying,5
Our,5
Sparrow,5
illegally.,5
community,5
274/w,5
L.E.D.,5
LIVE,5
HP,5
couple,5
bushes,5
cart.],5
Nonstop,5
repaired,5
less,5
injured,5
attracting,5
guys,5
recently,5
mentioned,5
flex,5
recylin,5
Melbourne,5
timing,5
locked,5
(4),5
OK,5
deliver:,5
House,5
311,5
Hanover,5
"it,",5
missed.,5
shutoff,5
[Sidewalk,5
Residential,5
yard],5
i,5
TV,5
She,5
starting,5
parked.,5
spots.,5
little,5
fields,5
square,5
Rd,5
Contractors,5
2nd,5
active,5
happened,5
hoop,5
facing,5
valuable,5
calling,5
properties,5
living,5
suv,5
narrow,5
[Handicapped,5
space],5
different,5
Honda,5
[Double,5
safely,5
[Jeep],5
Copley,5
including,5
previously,5
street],5
Debris,5
plot,5
vehicle.,5
[TOYOTA],5
interfere,5
feeding,5
spaces.,5
[None],5
[there,5
Charles,5
bottles,5
name,5
Second,5
[One,5
stairs,5
"car,",5
Send,5
ISD,5
"up,",5
cobra,5
mva,5
Couch,5
Transfer,5
else,5
Mission,5
really,5
back.,5
Dog,5
ongoing,5
missing.,5
patch,5
delivery,5
panel,5
rd,5
rats.,5
[Black],5
spotted,5
instead,5
Only,5
brick,5
there.,5
inches,5
Double,5
summer,5
won't,5
Mass,5
leash,5
posted.,5
signals,5
swings,5
Station,5
started,5
visible,5
always,5
backyard,5
shut,5
sleeping,5
NEEDS,5
Across,5
ARE,5
must,5
[55,5
Enforcement,5
Highland,5
potholes.,5
cited,5
Scumbag,5
bitten,5
holes,5
cite,5
soon,5
health,5
one.,5
Trash/debris,5
Cut,5
seems,5
storage,5
individuals,5
Pole],5
Saturday,5
stolen,5
Draper,5
overhanging,4
head,4
"bottles,",4
sweeping,4
Was,4
town,4
keeps,4
landing,4
exiting,4
130,4
Myrtle,4
collected.,4
infestation,4
Restaurant,4
Commonwealth,4
Turner,4
Wharf,4
meets,4
row,4
Exposed,4
Hwy.,4
older,4
[Audi],4
Too,4
bulk,4
u,4
Another,4
trimmed,4
exposed.,4
Probably,4
garbage.,4
Called,4
(see,4
[Controller/Timing,4
Issues],4
Basket,4
47,4
preventing,4
St],4
"traffic,",4
repeatedly,4
halfway,4
attn:,4
[Ball,4
fields],4
wide,4
Claremont,4
End.,4
Greenwich,4
[Whole,4
Tree],4
Your,4
Always,4
#105,4
W.SECND,4
BETWEEN,4
BRIDGE,4
ST.,4
INSTALL,4
24'POLE,4
W/SINGLE,4
STNDARD,4
ARM,4
FIXTURE,4
FEED,4
while.,4
speed,4
uncapped,4
broken],4
branches.,4
Flag,4
[Construction],4
from:,4
bulb,4
"

[submitted",4
[Rodent,4
maybe,4
benches,4
that'll,4
Sq,4
porch.,4
[Back,4
turned,4
Constant,4
[Private],4
"bin,",4
stolen.,4
Friday,4
[YES],4
Concord,4
MISSED,4
door.,4
St.],4
Garbage,4
waterfront.,4
signage,4
storm,4
tree],4
standing,4
odor,4
yard.],4
happen,4
store,4
property.],4
opposite,4
access.,4
bad.,4
give,4
"there,",4
especially,4
severely,4
consistently,4
cars.,4
As,4
tagged,4
pulling,4
far,4
appreciate,4
Can't,4
loading,4
spring,4
feces,4
Some,4
blower,4
neighboring,4
belongs,4
show,4
child,4
apartments.,4
[Container],4
FIRE,4
29,4
once,4
75,4
group,4
RESIDENT,4
assistance,4
"night,",4
Chestnut,4
Any,4
hand,4
wash,4
"day,",4
"home,",4
Bricks,4
land,4
4th,4
view,4
vandalized,4
[2DR],4
apartment.,4
info:,4
way.,4
concern,4
schedule,4
appear,4
"road,",4
[BLUE],4
"side,",4
[Fence,4
Repair],4
/,4
tv,4
Roxbury,4
Noyes,4
constant.,4
Warren,4
"trash,",4
Left,4
Russell,4
not.,4
til,4
[WHITE],4
Subaru,4
limited,4
repair:,4
return,4
Next,4
[Refrigerator/Freezer],4
ZONE,4
Filthy,4
mattresses,4
littered,4
Three,4
Working,4
warren,4
flowering,4
may,4
Smith,4
Saratoga,4
NY,4
killed,4
Newbury,4
"area,",4
occurring,4
[Acura],4
flower,4
Would,4
"""no",4
shouldn't,4
Adams,4
fix.,4
paid,4
36,4
Dark,4
portion,4
800L,4
ask,4
present,4
registration,4
Boylston,4
Near,4
[Bird],4
broken.,4
station.,4
immediate,4
human,4
Worcester,4
team,4
Bike,4
good,4
notify,4
reach,4
[RedOrange],4
comes,4
entrance.,4
Off,4
Over,4
(5),4
building],4
equipment,4
Back,4
bags.,4
[the,4
them.,4
[side],4
Playground,4
trimming.,4
stroller,4
throw,4
behind.,4
Centre,4
is.,4
stays,4
great,4
Small,4
poles,4
Gas,4
placard,4
traffic.,4
dropped,4
[Lane,4
Line],4
birds,4
First,4
[Pedestrian,4
dumping,4
please.,4
weekend,4
"Avenue,",4
!!!,4
we're,4
going?,4
ready,4
Shawmut,4
flashing,4
condition.,4
Household,4
everywhere.,4
inspect,4
feature,4
closed.,4
sidewalk],4
7am,4
outage,4
pole],4
tomorrow,4
Potholes,4
Verizon,4
responsibility.,4
die,4
25,4
brush,4
wasn't,4
Clevemont,4
Everett,4
!,4
?,4
safely.,4
underneath.,4
neighborhood.,4
areas,4
Open,4
21,4
Today,4
said,4
Permit,4
direction,4
Reported,4
themselves,4
Bowdoin,4
mall,4
much.,4
[unknown],4
Harriet,4
down:,4
Light],4
Wires,4
exposed:,4
Lawrence,4
tick,4
handicapped,4
provided,4
Gordon,4
sprinkler,3
pipes,3
sprinklers,3
clogged.,3
Behind,3
lanes,3
accessible,3
Really,3
[THERE,3
PROPERTY,3
CART,3
Harvard,3
exact,3
Emptied,3
rack,3
photo.,3
electric,3
89,3
57,3
"permit,",3
[CT],3
Concrete,3
apart.,3
dumpster.,3
daily.,3
Bocce,3
waterfront,3
"fine,",3
Woman,3
burrowing,3
[65,3
plus],3
Garden,3
1667,3
Must,3
adjacent,3
Bench,3
late,3
Enforcement.,3
8th,3
[I,3
toilet,3
stopped,3
Everyday,3
pick-up,3
mowed.,3
fine,3
daycare,3
outside.,3
attracted,3
105,3
S,3
status,3
Empty,3
37,3
Opposite,3
materials.,3
[Litter/Glass],3
dumping.,3
"lot,",3
56,3
Leaking,3
oncoming,3
commerical,3
TVs,3
all.,3
games,3
Paris,3
Babe,3
Ruth,3
asap.,3
Central,3
Grounds,3
prevented,3
sidewalk.],3
turns,3
starts,3
disturbing,3
newly,3
dug,3
folks,3
wheelchairs,3
strollers.,3
disgrace.,3
Texas,3
Orleans,3
#10,3
knee,3
unmoved,3
wheels,3
Library,3
hazardous,3
BAGS,3
[06/24/2022],3
Pembroke,3
shade,3
sleep.,3
changed,3
https://seeclickfix.com/issues/12770860],3
stones,3
Ambulance,3
called.,3
unattended,3
infestation.,3
Health,3
Call,3
wondering,3
anywhere,3
weekly,3
"intersection,",3
eye,3
bolt,3
Chelsea,3
start,3
ran,3
"house,",3
electrical,3
Dorchester.,3
caller,3
[front,3
street.],3
MVA.,3
prevent,3
"cart,",3
crosswalk.,3
51,3
bait,3
wales,3
ASAP,3
Bicycle,3
remove.,3
say,3
ever,3
planting,3
Reside,3
plantings:,3
overflow.,3
clogged,3
[Front,3
monitor,3
attract,3
186,3
fined,3
Harrison,3
originally,3
service,3
amount,3
turn.,3
auto,3
body,3
oil,3
Kia,3
term,3
own,3
"truck,",3
Number:,3
30,3
Jamaica,3
Box,3
occupants,3
flies,3
unsanitary,3
following,3
blew,3
amounts,3
thrown,3
PM.,3
submitted,3
permits.,3
else.,3
anytime,3
[VW],3
[4AYT21],3
route,3
We've,3
cracks,3
customers,3
parked],3
Food,3
giving,3
read,3
"driveway,",3
jeep,3
often,3
weekends.,3
minute,3
given,3
--,3
st],3
received,3
marking,3
[Tree],3
B,3
Should,3
minutes.,3
contractor,3
left.,3
windshield,3
hammering,3
rock,3
Audi,3
ground.,3
5th,3
activity.],3
headed,3
Hyde,3
Hyundai,3
done.,3
insect,3
rodent:,3
Edinboro,3
required,3
project,3
young,3
[In,3
damaged.,3
inspected,3
beginning,3
"week,",3
"now,",3
setting,3
"sticker,",3
pipe,3
deck,3
nest,3
Original,3
tents,3
underpass,3
frame,3
belly,3
seating,3
disabled,3
despite,3
heading,3
chained,3
try,3
lived,3
anything,3
National,3
Perkins,3
piling,3
[AUDI],3
With,3
Mayor,3
6.,3
tags,3
trailers,3
Fence,3
Taking,3
Looks,3
month.,3
Deterioration],3
[Resurfacing],3
center,3
streets.,3
Dagle,3
[Light,3
changing],3
Lights],3
most,3
PARKED,3
[Two],3
Northampton,3
died.,3
general,3
tagging,3
Utility,3
Connecticut,3
residence.,3
ticketed,3
PM,3
[15],3
court.,3
Rodent,3
MBTA,3
Marlborough,3
beeping,3
cases,3
"""No",3
Making,3
267,3
meter,3
[Green],3
enforce.,3
"way,",3
think,3
grey,3
Emergency,3
Plenty,3
lazy,3
endanger,3
patients,3
Don,3
Orion.,3
ticket/tow,3
can’t,3
For,3
properly,3
(,3
pretty,3
condition,3
Don't,3
BTD.,3
Fireworks,3
gray,3
"
Thank",3
Motorcycle,3
showing,3
DP,3
pass,3
scattered,3
keeping,3
load,3
AM,3
frequent,3
actually,3
driver,3
enjoy,3
planter,3
purposely,3
Children,3
memorial,3
someone.,3
bar,3
it’s,3
children.,3
damaging,3
Fort,3
abandoned.,3
stretch,3
cutting,3
revere,3
fixed.,3
field.,3
dog.,3
Tons,3
Hole,3
flow,3
animals,3
lighting,3
tripped,3
winter,3
[Solar-Powered,3
Belly],3
june,3
29th,3
silver,3
sounds,3
fencing,3
[Trades,3
He,3
miss,3
discarded,3
secured,3
man,3
inspector,3
trip,3
lines.,3
Clancy,3
worse,3
RAKED,3
swept.,3
debris.,3
Mirabella,3
Pool,3
Have,3
pike,3
Weld,3
M,3
cleared,3
literally,3
seconds.,3
sparrow,3
fountain.,3
residence,3
beautiful,3
trashcan,3
Saint,3
wheel,3
(2)],3
BE,3
Polcari,3
walkers,3
too.,3
top.,3
"Park,",3
structure,3
tire,3
complaining,3
addressed,3
[2,3
"months,",3
"
It",3
pitch,3
pedestrians.,3
through.,3
etc,3
desperately,3
"everywhere,",3
only.,3
An,3
"Boston,",3
pruning.,3
Third,3
remain,3
Duncan,3
nearly,3
backing,3
motorcycle,3
deep,3
crews,3
repairs,3
job.,3
porch,3
Maybe,3
"hydrant,",3
towed.,3
taken.,3
Safety,3
trap,3
PWD,3
restaurants,3
tax,3
pit,3
LOCATED,3
Burned-out,3
mantles,3
replacement.,3
rear],3
mattress,3
19,3
barrell,3
pay,3
path,3
tot,3
bend,3
Rodents,3
pruning,3
52,3
Mercedes,3
continue,3
enforcement,3
Yellow,3
Preference],3
update,3
refuses,3
sedan,3
8am,3
tenants,3
leading,3
NEW,3
likely,3
out],3
Single,3
ripped,3
one's,3
forming,3
bunch,3
27,3
RUNNING,3
May,3
River,3
ticket.],3
bystander.,3
Power,3
companies,3
pruned?,3
Ruskin,3
saying,3
replacement,3
Day,3
casting,3
ticket],3
nice,3
changed.,3
wharf,3
catchbasin,3
mirror,3
However,3
HUGE,3
enough,3
gutter,3
eat,3
Half,3
Chandler,3
maintained,3
random,3
[30,3
asking,3
digging,3
Baldwin,3
Medford,3
Extremely,3
stay,3
correct,3
scraps,3
Deep,3
permitted,3
everyone's,3
Shore,3
E.,3
GMC,3
opening,3
leaking,3
there's,3
Bennet,3
Entire,3
"issue,",3
When,3
ma,3
Jim,3
Rice,3
lock,3
"02115.

I",3
rooming,3
X,3
flying,3
Every,3
complaints,3
Corolla,3
NH,3
Stopping,3
incidents,3
stained,3
sidewalks?,3
drove,3
kid,3
apartments,3
Attn,3
DCR,3
Passed,3
held,3
Rolling,3
Bridge,3
mow,3
[Vertical,3
Play,3
